time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,4.85,66.4,0.0,-0.0,0.0,260.58,2.68,38.0,100990.0
20190101:0100,4.62,66.21,0.0,-0.0,0.0,262.86,2.95,36.0,100970.0
20190101:0200,4.39,66.02,0.0,-0.0,0.0,265.15,3.22,34.0,100980.0
20190101:0300,4.15,65.83,0.0,-0.0,0.0,267.43,3.48,30.0,100950.0
20190101:0400,3.92,65.64,0.0,-0.0,0.0,269.71,3.75,28.0,100950.0
20190101:0500,3.69,65.45,0.0,-0.0,0.0,272.0,4.01,28.0,101000.0
20190101:0600,3.46,65.26,12.0,0.0,12.0,274.28,4.28,28.0,101069.0
20190101:0700,3.23,65.07,105.0,91.11,87.0,276.56,4.54,34.0,101069.0
20190101:0800,5.47,59.0,208.0,169.96,154.0,276.0,3.93,34.0,101069.0
20190101:0900,6.25,52.35,334.0,411.34,170.0,270.6,4.41,34.0,101039.0
20190101:1000,6.96,49.65,421.0,666.67,131.0,263.8,4.48,33.0,101010.0
20190101:1100,7.47,47.4,427.0,768.61,101.0,255.0,4.41,31.0,100901.0
20190101:1200,7.81,45.75,341.0,616.01,115.0,248.6,4.07,32.0,100832.0
20190101:1300,7.76,44.95,215.0,415.57,104.0,245.4,3.66,36.0,100782.0
20190101:1400,7.37,45.75,87.0,288.72,49.0,246.8,3.17,43.0,100782.0
20190101:1500,6.57,47.65,0.0,-0.0,0.0,245.6,2.76,44.0,100782.0
20190101:1600,5.44,53.1,0.0,-0.0,0.0,245.2,2.48,43.0,100822.0
20190101:1700,4.03,60.55,0.0,-0.0,0.0,241.2,2.21,43.0,100812.0
20190101:1800,3.3,60.8,0.0,-0.0,0.0,236.8,2.14,40.0,100812.0
20190101:1900,3.23,58.9,0.0,-0.0,0.0,237.4,1.93,43.0,100782.0
20190101:2000,2.81,60.6,0.0,-0.0,0.0,233.6,1.86,39.0,100753.0
20190101:2100,2.15,63.3,0.0,-0.0,0.0,233.2,1.86,31.0,100693.0
20190101:2200,1.54,65.95,0.0,-0.0,0.0,229.0,1.86,23.0,100634.0
20190101:2300,1.55,66.35,0.0,-0.0,0.0,228.2,1.66,24.0,100575.0
20190102:0000,2.63,62.3,0.0,-0.0,0.0,225.8,1.31,35.0,100555.0
20190102:0100,2.55,62.4,0.0,-0.0,0.0,225.4,1.1,35.0,100486.0
20190102:0200,3.07,61.15,0.0,-0.0,0.0,224.8,0.83,29.0,100427.0
20190102:0300,3.01,62.0,0.0,-0.0,0.0,226.2,0.69,25.0,100338.0
20190102:0400,2.94,62.95,0.0,-0.0,0.0,228.8,0.62,18.0,100288.0
20190102:0500,2.88,63.6,0.0,-0.0,0.0,229.0,0.55,13.0,100269.0
20190102:0600,2.79,64.6,15.0,0.0,15.0,234.6,0.48,4.0,100249.0
20190102:0700,2.98,63.95,170.0,556.28,60.0,229.2,0.83,335.0,100249.0
20190102:0800,3.69,72.15,309.0,719.62,80.0,229.8,0.55,323.0,100259.0
20190102:0900,5.26,57.95,408.0,810.86,84.0,232.2,0.48,299.0,100160.0
20190102:1000,5.85,55.95,453.0,832.1,90.0,240.8,0.48,274.0,100071.0
20190102:1100,6.25,54.6,437.0,810.36,92.0,235.2,0.55,237.0,99943.0
20190102:1200,6.44,54.5,366.0,756.57,87.0,246.0,0.83,203.0,99903.0
20190102:1300,6.27,55.9,247.0,635.15,76.0,238.8,0.97,196.0,99864.0
20190102:1400,5.81,59.15,105.0,492.96,39.0,243.0,0.97,201.0,99844.0
20190102:1500,4.71,71.55,0.0,-0.0,0.0,243.4,0.9,217.0,99844.0
20190102:1600,4.96,61.45,0.0,-0.0,0.0,250.4,0.41,243.0,99883.0
20190102:1700,4.81,62.5,0.0,-0.0,0.0,261.6,0.14,0.0,99893.0
20190102:1800,4.64,63.85,0.0,-0.0,0.0,260.2,0.41,19.0,99893.0
20190102:1900,5.1,64.85,0.0,-0.0,0.0,266.0,0.76,55.0,99962.0
20190102:2000,5.14,65.45,0.0,-0.0,0.0,281.4,0.76,48.0,99982.0
20190102:2100,5.1,66.35,0.0,-0.0,0.0,289.4,0.76,43.0,99982.0
20190102:2200,4.98,68.2,0.0,-0.0,0.0,297.2,0.76,34.0,100012.0
20190102:2300,4.7,70.05,0.0,-0.0,0.0,298.6,0.62,30.0,100022.0
20190103:0000,4.38,72.75,0.0,-0.0,0.0,292.2,0.69,38.0,100022.0
20190103:0100,3.43,81.2,0.0,-0.0,0.0,299.4,1.03,47.0,100022.0
20190103:0200,2.83,85.15,0.0,-0.0,0.0,296.6,1.17,58.0,99992.0
20190103:0300,2.26,87.15,0.0,-0.0,0.0,297.2,1.66,62.0,99953.0
20190103:0400,2.15,86.75,0.0,-0.0,0.0,294.6,1.86,63.0,99972.0
20190103:0500,2.21,84.95,0.0,-0.0,0.0,294.4,2.07,65.0,99962.0
20190103:0600,2.38,83.0,7.0,0.0,7.0,298.6,2.28,62.0,99982.0
20190103:0700,2.98,80.25,48.0,0.0,48.0,274.0,2.41,55.0,100002.0
20190103:0800,4.68,74.35,55.0,0.0,55.0,276.0,2.41,61.0,100061.0
20190103:0900,5.54,65.7,110.0,0.0,110.0,280.6,3.1,63.0,99992.0
20190103:1000,5.95,58.8,79.0,0.0,79.0,284.8,3.72,57.0,99913.0
20190103:1100,6.19,54.7,85.0,0.0,85.0,287.0,3.59,54.0,99873.0
20190103:1200,6.39,51.75,152.0,13.49,147.0,293.4,3.66,57.0,99854.0
20190103:1300,6.15,51.95,71.0,0.0,71.0,288.4,4.0,48.0,99785.0
20190103:1400,5.8,52.9,54.0,29.36,50.0,293.4,4.07,34.0,99686.0
20190103:1500,5.43,52.75,0.0,-0.0,0.0,289.2,3.72,28.0,99626.0
20190103:1600,5.04,54.6,0.0,-0.0,0.0,293.0,3.38,24.0,99676.0
20190103:1700,4.71,56.7,0.0,-0.0,0.0,295.2,3.17,18.0,99745.0
20190103:1800,4.39,58.7,0.0,-0.0,0.0,296.0,2.9,8.0,99794.0
20190103:1900,3.72,65.05,0.0,-0.0,0.0,295.0,2.83,337.0,99844.0
20190103:2000,3.38,67.7,0.0,-0.0,0.0,293.2,2.62,324.0,99893.0
20190103:2100,3.08,69.55,0.0,-0.0,0.0,290.6,2.48,314.0,99933.0
20190103:2200,2.83,70.9,0.0,-0.0,0.0,289.6,2.34,309.0,100051.0
20190103:2300,2.6,72.6,0.0,-0.0,0.0,287.0,2.14,303.0,100130.0
20190104:0000,2.36,74.05,0.0,-0.0,0.0,285.6,2.0,302.0,100160.0
20190104:0100,2.09,75.85,0.0,-0.0,0.0,285.6,1.72,304.0,100229.0
20190104:0200,1.67,79.15,0.0,-0.0,0.0,286.2,1.52,304.0,100259.0
20190104:0300,1.17,82.4,0.0,-0.0,0.0,281.8,1.45,294.0,100269.0
20190104:0400,0.77,84.85,0.0,-0.0,0.0,279.6,1.31,294.0,100367.0
20190104:0500,0.72,84.35,0.0,-0.0,0.0,276.6,1.1,302.0,100446.0
20190104:0600,1.62,77.35,4.0,0.0,4.0,279.0,0.69,324.0,100575.0
20190104:0700,2.03,79.3,15.0,0.0,15.0,282.8,0.83,97.0,100723.0
20190104:0800,2.39,79.4,100.0,0.0,100.0,286.2,2.21,96.0,100832.0
20190104:0900,2.56,77.65,228.0,82.15,195.0,285.4,3.1,91.0,100881.0
20190104:1000,2.88,75.1,82.0,0.0,82.0,284.0,3.31,82.0,100921.0
20190104:1100,2.91,71.1,249.0,88.52,211.0,277.6,3.52,77.0,100931.0
20190104:1200,3.03,65.1,87.0,0.0,87.0,293.4,3.66,73.0,100871.0
20190104:1300,2.95,61.95,82.0,0.0,82.0,293.0,3.79,70.0,100852.0
20190104:1400,2.66,62.0,47.0,14.42,45.0,292.2,3.72,63.0,100842.0
20190104:1500,2.15,63.55,0.0,-0.0,0.0,282.6,3.52,57.0,100802.0
20190104:1600,1.81,64.65,0.0,-0.0,0.0,288.8,3.72,56.0,100832.0
20190104:1700,1.69,65.3,0.0,-0.0,0.0,293.2,3.79,56.0,100832.0
20190104:1800,1.39,67.15,0.0,-0.0,0.0,292.4,4.21,51.0,100842.0
20190104:1900,1.48,62.4,0.0,-0.0,0.0,285.6,5.03,56.0,100842.0
20190104:2000,1.42,61.15,0.0,-0.0,0.0,289.0,5.31,54.0,100782.0
20190104:2100,1.37,59.6,0.0,-0.0,0.0,289.0,5.38,51.0,100773.0
20190104:2200,1.22,59.2,0.0,-0.0,0.0,289.8,5.24,48.0,100792.0
20190104:2300,1.0,59.6,0.0,-0.0,0.0,281.8,5.1,44.0,100733.0
20190105:0000,0.84,60.2,0.0,-0.0,0.0,283.8,4.9,39.0,100693.0
20190105:0100,0.59,60.25,0.0,-0.0,0.0,287.6,4.83,33.0,100674.0
20190105:0200,0.53,60.35,0.0,-0.0,0.0,284.4,4.55,26.0,100595.0
20190105:0300,0.45,60.85,0.0,-0.0,0.0,281.8,4.0,21.0,100545.0
20190105:0400,0.43,60.65,0.0,-0.0,0.0,279.6,3.59,19.0,100526.0
20190105:0500,0.42,60.75,0.0,-0.0,0.0,281.0,3.24,18.0,100496.0
20190105:0600,0.38,61.4,3.0,0.0,3.0,278.6,3.1,15.0,100516.0
20190105:0700,0.11,67.5,22.0,0.0,22.0,289.6,2.97,355.0,100535.0
20190105:0800,-0.1,71.05,36.0,0.0,36.0,292.6,2.76,351.0,100585.0
20190105:0900,0.05,72.5,70.0,0.0,70.0,294.6,2.69,349.0,100565.0
20190105:1000,0.08,75.45,83.0,0.0,83.0,294.2,2.69,346.0,100526.0
20190105:1100,0.36,75.9,70.0,0.0,70.0,293.8,2.76,343.0,100446.0
20190105:1200,0.6,76.65,82.0,0.0,82.0,294.8,2.76,342.0,100387.0
20190105:1300,0.93,75.8,50.0,0.0,50.0,293.2,2.69,341.0,100328.0
20190105:1400,1.03,76.35,55.0,28.32,51.0,294.8,2.34,340.0,100308.0
20190105:1500,0.83,79.2,0.0,-0.0,0.0,288.8,2.0,340.0,100269.0
20190105:1600,0.53,82.15,0.0,-0.0,0.0,295.2,1.66,338.0,100298.0
20190105:1700,0.46,81.3,0.0,-0.0,0.0,291.0,1.24,333.0,100318.0
20190105:1800,0.61,77.95,0.0,-0.0,0.0,281.8,1.03,324.0,100328.0
20190105:1900,-0.51,83.4,0.0,-0.0,0.0,291.2,1.38,293.0,100328.0
20190105:2000,-0.7,82.85,0.0,-0.0,0.0,279.8,1.45,296.0,100298.0
20190105:2100,-1.42,82.15,0.0,-0.0,0.0,248.4,1.52,299.0,100229.0
20190105:2200,-1.73,79.9,0.0,-0.0,0.0,227.4,1.59,304.0,100190.0
